area_type,location,total_sqft,bath,balcony,price,bhk,price_per_sqft
Super built-up  Area,Bellandur,1310.0,2.0,2.0,85.0,2,6489.0
Super built-up  Area,Bellandur,982.0,2.0,2.0,37.28,2,3796.0
Built-up  Area,Bellandur,1465.0,3.0,3.0,90.0,2,6143.0
Super built-up  Area,Bellandur,1767.0,3.0,2.0,109.0,3,6169.0
Super built-up  Area,Bellandur,924.0,2.0,2.0,35.11,2,3800.0
Built-up  Area,Bellandur,3600.0,4.0,0.0,245.0,4,6806.0
Super built-up  Area,Bellandur,1170.0,2.0,1.0,46.79,2,3999.0
Super built-up  Area,Bellandur,1150.0,2.0,1.0,69.44,2,6038.0
Super built-up  Area,Bellandur,1200.0,2.0,3.0,45.0,2,3750.0
Super built-up  Area,Bellandur,1410.0,3.0,2.0,92.0,2,6525.0
Super built-up  Area,Bellandur,950.0,2.0,2.0,35.0,2,3684.0
Super built-up  Area,Bellandur,1015.0,2.0,1.0,60.0,2,5911.0
Super built-up  Area,Bellandur,1685.0,3.0,3.0,101.0,3,5994.0
Built-up  Area,Bellandur,1735.0,3.0,3.0,105.0,3,6052.0
Built-up  Area,Bellandur,1685.0,3.0,3.0,115.0,3,6825.0
Super built-up  Area,Bellandur,1846.0,3.0,2.0,135.0,3,7313.0
Super built-up  Area,Bellandur,1049.0,2.0,1.0,51.0,2,4862.0
Built-up  Area,Bellandur,1211.0,2.0,1.0,63.0,2,5202.0
Super built-up  Area,Bellandur,1717.0,3.0,2.0,110.0,3,6407.0
Super built-up  Area,Bellandur,1185.0,2.0,1.0,47.39,2,3999.0
Super built-up  Area,Bellandur,1200.0,2.0,1.0,62.0,2,5167.0
Super built-up  Area,Bellandur,1251.0,2.0,3.0,47.0,2,3757.0
Built-up  Area,Bellandur,960.0,2.0,2.0,48.0,2,5000.0
Super built-up  Area,Bellandur,1690.0,2.0,2.0,116.0,3,6864.0
Super built-up  Area,Bellandur,950.0,1.0,1.0,40.0,1,4211.0
Built-up  Area,Bellandur,850.0,2.0,1.0,45.0,2,5294.0
Super built-up  Area,Bellandur,1454.0,2.0,1.0,90.0,2,6190.0
Super built-up  Area,Bellandur,1195.0,2.0,1.0,52.0,2,4351.0
Super built-up  Area,Bellandur,1435.0,2.0,2.0,115.0,3,8014.0
Super built-up  Area,Bellandur,1260.0,2.0,2.0,83.5,2,6627.0
Super built-up  Area,Bellandur,1535.0,3.0,0.0,90.0,3,5863.0
Super built-up  Area,Bellandur,1047.0,2.0,1.0,75.0,2,7163.0
Super built-up  Area,Bellandur,1096.0,2.0,2.0,40.0,2,3650.0
Super built-up  Area,Bellandur,1262.0,2.0,2.0,47.0,2,3724.0
Super built-up  Area,Benson Town,3200.0,4.0,0.0,350.0,3,10938.0
Super built-up  Area,Benson Town,4460.0,5.0,0.0,650.0,4,14574.0
Super built-up  Area,Benson Town,2850.0,4.0,3.0,470.0,3,16491.0
Super built-up  Area,Benson Town,1300.0,2.0,1.0,120.0,2,9231.0
Built-up  Area,Benson Town,1567.0,3.0,0.0,140.0,2,8934.0
Super built-up  Area,Benson Town,3633.0,6.0,2.0,550.0,4,15139.0
Plot  Area,Benson Town,1688.12,2.0,1.0,270.0,2,15994.0
Built-up  Area,Benson Town,1805.0,3.0,2.0,280.0,3,15512.0
Plot  Area,Benson Town,1688.0,2.0,0.0,280.0,2,16588.0
Super built-up  Area,Bharathi Nagar,1322.0,2.0,2.0,68.0,2,5144.0
Super built-up  Area,Bharathi Nagar,1351.0,2.0,2.0,70.0,2,5181.0
Super built-up  Area,Bharathi Nagar,1384.0,2.0,2.0,59.0,2,4263.0
Super built-up  Area,Bharathi Nagar,1351.0,2.0,2.0,74.0,2,5477.0
Super built-up  Area,Bharathi Nagar,1432.0,2.0,2.0,68.0,2,4749.0
Super built-up  Area,Bharathi Nagar,1349.0,2.0,2.0,56.7,2,4203.0
Super built-up  Area,Bharathi Nagar,1328.0,2.0,2.0,69.0,2,5196.0
Built-up  Area,Bharathi Nagar,1300.0,2.0,2.0,55.86,2,4297.0
Super built-up  Area,Bhoganhalli,1670.0,3.0,1.0,99.0,3,5928.0
Super built-up  Area,Bhoganhalli,1444.0,2.0,1.0,75.97,2,5261.0
Super built-up  Area,Bhoganhalli,1447.0,2.0,1.0,75.97,2,5250.0
Built-up  Area,Bhoganhalli,1700.0,3.0,2.0,126.0,3,7412.0
Super built-up  Area,Bhoganhalli,1447.0,2.0,1.0,75.97,2,5250.0
Super built-up  Area,Bhoganhalli,1760.0,3.0,2.0,127.0,3,7216.0
Super built-up  Area,Bhoganhalli,1447.0,2.0,1.0,75.97,2,5250.0
Super built-up  Area,Bhoganhalli,1949.0,3.0,2.0,129.0,3,6619.0
Super built-up  Area,Bhoganhalli,1760.0,3.0,2.0,128.0,3,7273.0
Super built-up  Area,Bhoganhalli,1447.0,2.0,1.0,75.97,2,5250.0
Super built-up  Area,Bhoganhalli,2439.0,4.0,3.0,185.0,4,7585.0
Super built-up  Area,Bhoganhalli,1444.0,2.0,1.0,75.97,2,5261.0
Super built-up  Area,Bhoganhalli,1205.0,2.0,2.0,64.47,2,5350.0
Super built-up  Area,Bhoganhalli,1447.0,2.0,1.0,75.97,2,5250.0
Built-up  Area,Bhoganhalli,2439.0,5.0,2.0,170.0,4,6970.0
Super built-up  Area,Bhoganhalli,1205.0,2.0,1.0,68.32,2,5670.0
Super built-up  Area,Bhoganhalli,1260.0,2.0,1.0,69.9,2,5548.0
Super built-up  Area,Bhoganhalli,2439.0,4.0,3.0,170.0,4,6970.0
Super built-up  Area,Bhoganhalli,1707.0,3.0,2.0,115.0,3,6737.0
Built-up  Area,Bhoganhalli,970.0,2.0,1.0,52.5,2,5412.0
Super built-up  Area,Bhoganhalli,1277.0,2.0,1.0,79.89,2,6256.0
Super built-up  Area,Bhoganhalli,1703.0,3.0,2.0,120.0,3,7046.0
Super built-up  Area,Billekahalli,1125.0,2.0,2.0,62.0,2,5511.0
Super built-up  Area,Billekahalli,1090.0,2.0,3.0,52.0,2,4771.0
Super built-up  Area,Billekahalli,1112.0,2.0,2.0,62.0,2,5576.0
Built-up  Area,Billekahalli,2400.0,3.0,1.0,150.0,3,6250.0
Super built-up  Area,Billekahalli,2968.0,3.0,0.0,225.0,3,7581.0
Super built-up  Area,Billekahalli,950.0,2.0,1.0,58.11,2,6117.0
Super built-up  Area,Billekahalli,1360.0,2.0,3.0,110.0,2,8088.0
Super built-up  Area,Billekahalli,1125.0,2.0,1.0,65.0,2,5778.0
Super built-up  Area,Billekahalli,950.0,2.0,2.0,56.0,2,5895.0
Built-up  Area,Billekahalli,1805.0,3.0,3.0,134.0,3,7424.0
Super built-up  Area,Binny Pete,1755.0,3.0,1.0,122.0,3,6952.0
Super built-up  Area,Binny Pete,665.0,1.0,0.0,50.75,1,7632.0
Super built-up  Area,Binny Pete,2465.0,5.0,2.0,234.0,3,9493.0
Super built-up  Area,Binny Pete,1245.0,2.0,1.0,86.28,2,6930.0
Super built-up  Area,Binny Pete,660.0,1.0,1.0,54.0,1,8182.0
Super built-up  Area,Binny Pete,665.0,1.0,1.0,46.08,1,6929.0
Super built-up  Area,Binny Pete,660.0,1.0,1.0,62.0,1,9394.0
Super built-up  Area,Binny Pete,1365.0,2.0,1.0,122.0,2,8938.0
Super built-up  Area,Binny Pete,2940.0,6.0,2.0,280.0,4,9524.0
Super built-up  Area,Binny Pete,1795.0,3.0,2.0,139.0,3,7744.0
Super built-up  Area,Binny Pete,1740.0,3.0,1.0,150.0,3,8621.0
Super built-up  Area,Binny Pete,1970.0,3.0,2.0,164.0,3,8325.0
Super built-up  Area,Binny Pete,1516.0,3.0,1.0,147.0,3,9697.0
Super built-up  Area,Bisuvanahalli,1180.0,3.0,2.0,48.0,3,4068.0
Super built-up  Area,Bisuvanahalli,1075.0,2.0,1.0,46.0,3,4279.0
Super built-up  Area,Bisuvanahalli,1075.0,2.0,1.0,45.0,3,4186.0
Built-up  Area,Bisuvanahalli,845.0,2.0,1.0,33.0,2,3905.0
Super built-up  Area,Bisuvanahalli,1075.0,2.0,1.0,45.0,3,4186.0
Super built-up  Area,Bisuvanahalli,845.0,2.0,1.0,37.0,2,4379.0
Super built-up  Area,Bisuvanahalli,845.0,2.0,1.0,29.0,2,3432.0
Super built-up  Area,Bisuvanahalli,1075.0,2.0,1.0,47.0,3,4372.0
Super built-up  Area,Bisuvanahalli,850.0,1.0,1.0,32.0,2,3765.0
Super built-up  Area,Bisuvanahalli,1075.0,2.0,1.0,50.0,3,4651.0
Super built-up  Area,Bisuvanahalli,1075.0,2.0,1.0,52.0,3,4837.0
Super built-up  Area,Bisuvanahalli,1180.0,2.0,1.0,46.0,3,3898.0
Super built-up  Area,Bisuvanahalli,1075.0,2.0,1.0,42.0,3,3907.0
Super built-up  Area,Bisuvanahalli,845.0,2.0,1.0,37.0,2,4379.0
Super built-up  Area,Bisuvanahalli,1075.0,2.0,1.0,43.0,3,4000.0
Built-up  Area,Bisuvanahalli,700.0,1.0,1.0,32.0,2,4571.0
Super built-up  Area,Bisuvanahalli,1075.0,2.0,1.0,52.0,3,4837.0
Super built-up  Area,Bisuvanahalli,1075.0,2.0,1.0,50.0,3,4651.0
Super built-up  Area,Bisuvanahalli,845.0,2.0,1.0,33.0,2,3905.0
Super built-up  Area,Bisuvanahalli,945.0,2.0,1.0,33.0,2,3492.0
Built-up  Area,Bisuvanahalli,845.0,2.0,1.0,30.0,2,3550.0
Super built-up  Area,Bisuvanahalli,1075.0,2.0,1.0,43.0,3,4000.0
Built-up  Area,Bisuvanahalli,1080.0,2.0,1.0,45.0,3,4167.0
Super built-up  Area,Bisuvanahalli,1180.0,2.0,1.0,55.5,3,4703.0
Super built-up  Area,Bisuvanahalli,1075.0,2.0,1.0,47.0,3,4372.0
Super built-up  Area,Bisuvanahalli,1075.0,2.0,1.0,48.0,3,4465.0
Super built-up  Area,Bisuvanahalli,1075.0,2.0,1.0,45.0,3,4186.0
Super built-up  Area,Bisuvanahalli,1075.0,2.0,1.0,44.0,3,4093.0
Super built-up  Area,Bisuvanahalli,850.0,2.0,1.0,27.0,2,3176.0
Super built-up  Area,Bisuvanahalli,1075.0,2.0,1.0,42.0,3,3907.0
Super built-up  Area,Bisuvanahalli,845.0,2.0,2.0,32.0,2,3787.0
Built-up  Area,Bisuvanahalli,845.0,2.0,0.0,34.0,2,4024.0
Built-up  Area,Bommanahalli,3000.0,8.0,0.0,140.0,8,4667.0
Super built-up  Area,Bommanahalli,520.0,1.0,0.0,19.5,1,3750.0
Built-up  Area,Bommanahalli,515.0,1.0,1.0,25.0,1,4854.0
Built-up  Area,Bommanahalli,1090.0,3.0,2.0,44.0,2,4037.0
Super built-up  Area,Bommanahalli,1850.0,3.0,2.0,90.0,3,4865.0
Super built-up  Area,Bommanahalli,910.0,2.0,1.0,45.0,2,4945.0
Super built-up  Area,Bommanahalli,1050.0,2.0,2.0,46.0,2,4381.0
Super built-up  Area,Bommanahalli,1100.0,1.0,2.0,55.0,2,5000.0
Built-up  Area,Bommanahalli,1350.0,2.0,2.0,72.0,2,5333.0
Super built-up  Area,Bommanahalli,2100.0,4.0,2.0,85.0,4,4048.0
Super built-up  Area,Bommanahalli,1307.0,2.0,1.0,50.0,2,3826.0
Built-up  Area,Bommanahalli,1091.0,2.0,1.0,40.0,2,3666.0
Super built-up  Area,Bommanahalli,1160.0,2.0,3.0,53.0,2,4569.0
Super built-up  Area,Bommanahalli,1050.0,2.0,2.0,54.0,2,5143.0
Super built-up  Area,Bommasandra,1260.0,3.0,1.0,49.36,3,3917.0
Super built-up  Area,Bommasandra,1200.0,3.0,2.0,46.0,3,3833.0
Super built-up  Area,Bommasandra,1035.0,2.0,1.0,41.0,2,3961.0
Super built-up  Area,Bommasandra,1035.0,2.0,1.0,41.73,2,4032.0
Super built-up  Area,Bommasandra,1034.0,2.0,3.0,40.0,2,3868.0
Built-up  Area,Bommasandra,877.0,2.0,2.0,30.0,2,3421.0
Super built-up  Area,Bommasandra,920.0,2.0,1.0,37.46,2,4072.0
Super built-up  Area,Bommasandra,1035.0,2.0,1.0,41.43,2,4003.0
Super built-up  Area,Bommasandra,1295.0,2.0,1.0,50.28,3,3883.0
Super built-up  Area,Bommasandra,1015.0,2.0,1.0,40.0,2,3941.0
Built-up  Area,Bommasandra,1000.0,2.0,1.0,35.0,2,3500.0
Super built-up  Area,Bommasandra,955.0,2.0,1.0,35.28,2,3694.0
Super built-up  Area,Bommasandra,1005.0,2.0,1.0,39.77,2,3957.0
Super built-up  Area,Bommasandra,1014.0,2.0,1.0,35.0,2,3452.0
Super built-up  Area,Bommasandra,1020.0,2.0,1.0,40.89,2,4009.0
Super built-up  Area,Bommasandra,920.0,2.0,1.0,37.2,2,4043.0
Super built-up  Area,Bommasandra,800.0,1.0,1.0,32.0,2,4000.0
Super built-up  Area,Bommasandra,1280.0,3.0,1.0,50.0,3,3906.0
Plot  Area,Bommasandra,1942.0,3.0,0.0,90.0,3,4634.0
Super built-up  Area,Bommasandra,1127.0,2.0,1.0,45.0,2,3993.0
Super built-up  Area,Bommasandra,877.0,2.0,1.0,29.0,2,3307.0
Super built-up  Area,Bommasandra,1365.0,3.0,1.0,52.81,3,3869.0
Super built-up  Area,Bommasandra,842.0,2.0,2.0,30.0,2,3563.0
Super built-up  Area,Bommasandra,1260.0,3.0,1.0,49.36,3,3917.0
Super built-up  Area,Bommasandra,1365.0,3.0,1.0,52.82,3,3870.0
Super built-up  Area,Bommasandra,955.0,2.0,1.0,37.97,2,3976.0
Super built-up  Area,Bommasandra,1089.0,2.0,1.0,40.0,2,3673.0
Super built-up  Area,Bommasandra,1365.0,3.0,1.0,53.96,3,3953.0
Built-up  Area,Bommasandra Industrial Area,1090.0,2.0,2.0,31.48,2,2888.0
Built-up  Area,Bommasandra Industrial Area,1320.0,2.0,1.0,38.12,3,2888.0
Built-up  Area,Bommasandra Industrial Area,1400.0,2.0,1.0,40.44,3,2889.0
Built-up  Area,Bommasandra Industrial Area,1320.0,2.0,1.0,38.13,3,2889.0
Built-up  Area,Bommasandra Industrial Area,1220.0,2.0,1.0,35.23,3,2888.0
Built-up  Area,Bommasandra Industrial Area,1020.0,2.0,1.0,29.45,2,2887.0
Built-up  Area,Bommasandra Industrial Area,1165.0,2.0,1.0,33.64,2,2888.0
Built-up  Area,Bommasandra Industrial Area,1090.0,2.0,1.0,31.48,2,2888.0
Built-up  Area,Bommasandra Industrial Area,1310.0,2.0,1.0,37.83,3,2888.0
Built-up  Area,Bommasandra Industrial Area,1000.0,2.0,1.0,28.88,2,2888.0
Built-up  Area,Bommasandra Industrial Area,1020.0,2.0,1.0,29.45,2,2887.0
Built-up  Area,Bommasandra Industrial Area,1160.0,2.0,1.0,33.51,2,2889.0
Built-up  Area,Bommasandra Industrial Area,1125.0,2.0,1.0,32.49,2,2888.0
Built-up  Area,Bommasandra Industrial Area,1125.0,2.0,1.0,32.49,2,2888.0
Built-up  Area,Bommasandra Industrial Area,1130.0,2.0,1.0,32.64,2,2888.0
Built-up  Area,Bommasandra Industrial Area,1065.0,2.0,1.0,30.75,2,2887.0
Plot  Area,Bommenahalli,1200.0,3.0,1.0,125.0,3,10417.0
Built-up  Area,Bommenahalli,1632.0,3.0,0.0,145.0,4,8885.0
Plot  Area,Bommenahalli,1670.0,3.0,0.0,135.0,4,8084.0
Built-up  Area,Bommenahalli,1680.0,3.0,0.0,135.0,4,8036.0
Plot  Area,Bommenahalli,1632.0,3.0,1.0,128.0,4,7843.0
Built-up  Area,Bommenahalli,3339.0,3.0,0.0,250.0,3,7487.0
Plot  Area,Bommenahalli,1355.0,3.0,0.0,135.0,4,9963.0
Plot  Area,Bommenahalli,1232.0,3.0,1.0,96.0,3,7792.0
Built-up  Area,Bommenahalli,1632.0,3.0,0.0,140.0,4,8578.0
Super built-up  Area,Brookefield,1150.0,2.0,3.0,69.0,2,6000.0
Built-up  Area,Brookefield,1142.0,2.0,2.0,70.0,2,6130.0
Plot  Area,Brookefield,2800.0,4.0,2.0,240.0,4,8571.0
Super built-up  Area,Brookefield,1476.0,3.0,2.0,105.0,3,7114.0
Plot  Area,Brookefield,1700.0,4.0,1.0,152.0,4,8941.0
Super built-up  Area,Brookefield,1262.0,2.0,1.0,75.0,2,5943.0
Super built-up  Area,Brookefield,1139.0,2.0,2.0,80.0,2,7024.0
Super built-up  Area,Brookefield,1125.0,2.0,2.0,70.0,2,6222.0
Super built-up  Area,Brookefield,1420.0,3.0,2.0,85.0,3,5986.0
Super built-up  Area,Brookefield,941.0,2.0,2.0,48.0,2,5101.0
Built-up  Area,Brookefield,1100.0,2.0,1.0,55.0,2,5000.0
Super built-up  Area,Brookefield,2400.0,3.0,3.0,140.0,4,5833.0
Built-up  Area,Brookefield,1225.0,2.0,2.0,66.5,2,5429.0
Plot  Area,Brookefield,1950.0,6.0,3.0,175.0,5,8974.0
Super built-up  Area,Brookefield,1080.0,2.0,3.0,50.0,2,4630.0
Built-up  Area,Brookefield,1230.0,2.0,3.0,55.0,2,4472.0
Super built-up  Area,Brookefield,1200.0,2.0,2.0,75.0,2,6250.0
Super built-up  Area,Brookefield,1089.0,2.0,1.0,49.0,2,4500.0
Super built-up  Area,Brookefield,1130.0,2.0,2.0,56.0,2,4956.0
Super built-up  Area,Brookefield,1270.0,2.0,1.0,95.0,2,7480.0
Super built-up  Area,Brookefield,1706.0,3.0,2.0,115.0,3,6741.0
Super built-up  Area,Brookefield,1389.0,2.0,2.0,94.0,2,6767.0
Built-up  Area,Brookefield,1225.0,2.0,2.0,72.0,2,5878.0
Super built-up  Area,Brookefield,1746.0,3.0,3.0,115.0,3,6586.0
Plot  Area,Brookefield,1560.0,3.0,2.0,149.0,4,9551.0
Super built-up  Area,Brookefield,1382.0,2.0,2.0,84.5,2,6114.0
Super built-up  Area,Brookefield,1260.0,2.0,1.0,70.0,2,5556.0
Super built-up  Area,Brookefield,1206.0,2.0,0.0,90.0,2,7463.0
Super built-up  Area,Brookefield,1594.0,3.0,2.0,140.0,3,8783.0
Super built-up  Area,Budigere,1153.0,2.0,2.0,56.4,2,4892.0
Super built-up  Area,Budigere,1162.0,2.0,1.0,59.9,2,5155.0
Super built-up  Area,Budigere,1991.0,4.0,2.0,103.0,3,5173.0
Super built-up  Area,Budigere,1153.0,2.0,2.0,57.0,2,4944.0
Super built-up  Area,Budigere,1162.0,2.0,1.0,57.0,2,4905.0
Super built-up  Area,Budigere,1139.0,2.0,2.0,62.0,2,5443.0
Super built-up  Area,Budigere,1139.0,2.0,2.0,56.8,2,4987.0
Super built-up  Area,Budigere,1139.0,2.0,2.0,56.85,2,4991.0
Super built-up  Area,Budigere,664.0,1.0,1.0,35.0,1,5271.0
Super built-up  Area,Budigere,1820.0,3.0,2.0,93.0,3,5110.0
Super built-up  Area,Budigere,1636.0,3.0,2.0,85.0,3,5196.0
Super built-up  Area,Budigere,1444.0,2.0,2.0,70.0,2,4848.0
Super built-up  Area,Budigere,1139.0,2.0,2.0,60.0,2,5268.0
Super built-up  Area,Budigere,1820.0,3.0,2.0,93.0,3,5110.0
Super built-up  Area,Budigere,1162.0,2.0,1.0,58.0,2,4991.0
Super built-up  Area,Budigere,1636.0,3.0,2.0,85.0,3,5196.0
Super built-up  Area,Budigere,1636.0,3.0,2.0,92.0,3,5623.0
Super built-up  Area,Budigere,1087.0,2.0,1.0,54.3,2,4995.0
Super built-up  Area,Budigere,1149.0,2.0,2.0,65.0,2,5657.0
Super built-up  Area,Budigere,664.0,1.0,1.0,35.4,1,5331.0
Super built-up  Area,Budigere,1153.0,2.0,2.0,56.7,2,4918.0
Super built-up  Area,Budigere,1139.0,2.0,2.0,56.5,2,4960.0
Super built-up  Area,Budigere,1636.0,3.0,2.0,83.0,3,5073.0
Built-up  Area,Budigere,664.0,1.0,1.0,34.0,1,5120.0
Super built-up  Area,Budigere,1162.0,2.0,1.0,58.0,2,4991.0
Super built-up  Area,Budigere,1153.0,2.0,2.0,60.0,2,5204.0
Super built-up  Area,Budigere,1820.0,3.0,2.0,99.0,3,5440.0
Super built-up  Area,Budigere,1172.0,2.0,0.0,56.725,2,4840.0
Super built-up  Area,Budigere,1820.0,3.0,2.0,95.0,3,5220.0
Built-up  Area,Budigere,1820.0,3.0,2.0,95.5,3,5247.0
Super built-up  Area,Budigere,1153.0,2.0,2.0,56.0,2,4857.0
Super built-up  Area,Budigere,705.0,1.0,0.0,34.545,1,4900.0
Super built-up  Area,Budigere,1153.0,2.0,2.0,56.5,2,4900.0
Super built-up  Area,Budigere,1153.0,2.0,2.0,58.0,2,5030.0
Super built-up  Area,Budigere,1636.0,3.0,2.0,88.0,3,5379.0
Super built-up  Area,Budigere,1153.0,2.0,2.0,56.55,2,4905.0
Super built-up  Area,Budigere,1153.0,2.0,2.0,56.5,2,4900.0
Super built-up  Area,Budigere,1153.0,2.0,2.0,60.0,2,5204.0
Super built-up  Area,CV Raman Nagar,1120.0,2.0,2.0,55.0,2,4911.0
Built-up  Area,CV Raman Nagar,1070.0,2.0,1.0,55.0,2,5140.0
Super built-up  Area,CV Raman Nagar,740.0,2.0,1.0,37.0,2,5000.0
Built-up  Area,CV Raman Nagar,1028.0,2.0,1.0,49.0,2,4767.0
Super built-up  Area,CV Raman Nagar,1392.0,2.0,1.0,98.0,2,7040.0
Super built-up  Area,CV Raman Nagar,1070.0,2.0,2.0,47.5,2,4439.0
Super built-up  Area,CV Raman Nagar,1825.0,3.0,2.0,126.0,3,6904.0
Super built-up  Area,CV Raman Nagar,1025.0,2.0,2.0,50.0,2,4878.0
Super built-up  Area,CV Raman Nagar,1198.0,2.0,2.0,60.0,2,5008.0
Super built-up  Area,CV Raman Nagar,1560.0,2.0,2.0,85.0,2,5449.0
Super built-up  Area,CV Raman Nagar,1590.0,2.0,3.0,85.0,3,5346.0
Super built-up  Area,CV Raman Nagar,1100.0,2.0,1.0,58.0,2,5273.0
Super built-up  Area,CV Raman Nagar,1051.0,2.0,3.0,61.0,2,5804.0
Super built-up  Area,CV Raman Nagar,1020.0,2.0,1.0,55.0,2,5392.0
Super built-up  Area,CV Raman Nagar,1285.0,2.0,2.0,65.0,2,5058.0
Super built-up  Area,CV Raman Nagar,1040.0,2.0,1.0,50.0,2,4808.0
Super built-up  Area,CV Raman Nagar,1392.0,2.0,1.0,95.0,2,6825.0
Super built-up  Area,CV Raman Nagar,705.0,2.0,1.0,50.0,1,7092.0
Built-up  Area,CV Raman Nagar,1125.0,2.0,1.0,46.0,2,4089.0
Super built-up  Area,CV Raman Nagar,1400.0,2.0,2.0,78.0,3,5571.0
Super built-up  Area,CV Raman Nagar,1400.0,2.0,2.0,78.0,3,5571.0
Super built-up  Area,CV Raman Nagar,907.0,2.0,2.0,38.0,2,4190.0
Built-up  Area,CV Raman Nagar,1310.0,2.0,1.0,62.0,2,4733.0
Super built-up  Area,Chamrajpet,1475.0,2.0,2.0,120.0,3,8136.0
Super built-up  Area,Chamrajpet,1900.0,2.0,1.0,170.0,4,8947.0
Super built-up  Area,Chamrajpet,1350.0,2.0,3.0,180.0,2,13333.0
Built-up  Area,Chamrajpet,1050.0,2.0,1.0,162.0,2,15429.0
Plot  Area,Chamrajpet,1660.4,4.0,2.0,211.0,4,12708.0
Built-up  Area,Chamrajpet,505.0,1.0,0.0,85.0,1,16832.0
Built-up  Area,Chamrajpet,1565.0,3.0,2.0,98.91,3,6320.0
Super built-up  Area,Chamrajpet,730.0,1.0,2.0,52.0,2,7123.0
Super built-up  Area,Chamrajpet,650.0,1.0,1.0,40.0,2,6154.0
Super built-up  Area,Chamrajpet,650.0,2.0,2.0,45.0,2,6923.0
Super built-up  Area,Chamrajpet,1650.0,3.0,2.0,115.0,3,6970.0
Built-up  Area,Chandapura,650.0,1.0,1.0,17.0,2,2615.0
Super built-up  Area,Chandapura,645.0,1.0,1.0,16.45,1,2550.0
Super built-up  Area,Chandapura,645.0,1.0,1.0,16.45,1,2550.0
Super built-up  Area,Chandapura,1015.0,2.0,2.0,25.88,2,2550.0
Super built-up  Area,Chandapura,530.0,1.0,0.0,11.66,1,2200.0
Super built-up  Area,Chandapura,1208.0,3.0,1.0,45.0,3,3725.0
Super built-up  Area,Chandapura,1200.0,2.0,2.0,32.0,2,2667.0
Super built-up  Area,Chandapura,1025.0,2.0,2.0,27.68,2,2700.0
Super built-up  Area,Chandapura,582.5,1.0,0.0,15.135,1,2598.0
Super built-up  Area,Chandapura,1015.0,2.0,2.0,25.88,2,2550.0
Super built-up  Area,Chandapura,1065.0,2.0,1.0,33.0,3,3099.0
Super built-up  Area,Chandapura,850.0,2.0,1.0,25.4,2,2988.0
Super built-up  Area,Chandapura,590.0,1.0,0.0,13.57,1,2300.0
Super built-up  Area,Chandapura,645.0,1.0,1.0,16.45,1,2550.0
Super built-up  Area,Chandapura,630.0,1.0,0.0,13.86,1,2200.0
Super built-up  Area,Chandapura,1015.0,2.0,2.0,25.88,2,2550.0
Super built-up  Area,Chandapura,1107.0,2.0,1.0,43.0,3,3884.0
Super built-up  Area,Chandapura,520.0,1.0,1.0,14.04,1,2700.0
Plot  Area,Chandapura,1200.0,1.0,1.0,36.0,2,3000.0
Super built-up  Area,Chandapura,975.0,2.0,1.0,24.86,2,2550.0
Super built-up  Area,Chandapura,645.0,1.0,1.0,16.45,1,2550.0
Super built-up  Area,Chandapura,985.0,2.0,1.0,25.12,2,2550.0
Super built-up  Area,Chandapura,645.0,1.0,1.0,16.45,1,2550.0
Super built-up  Area,Chandapura,975.0,2.0,1.0,24.86,2,2550.0
Super built-up  Area,Chandapura,700.0,1.0,1.0,19.0,2,2714.0
Super built-up  Area,Chandapura,1095.0,2.0,2.0,32.0,3,2922.0
Built-up  Area,Chandapura,1891.0,2.0,0.0,66.165,4,3499.0
Built-up  Area,Chandapura,1208.51,3.0,2.0,42.0,3,3475.0
Super built-up  Area,Chandapura,876.0,2.0,2.0,29.5,2,3368.0
Super built-up  Area,Chandapura,645.0,1.0,1.0,16.45,1,2550.0
Super built-up  Area,Chandapura,645.0,1.0,1.0,16.45,1,2550.0
Super built-up  Area,Chandapura,937.0,2.0,1.0,30.0,2,3202.0
Super built-up  Area,Chandapura,1025.0,2.0,2.0,27.68,2,2700.0
Super built-up  Area,Chandapura,975.0,2.0,1.0,24.86,2,2550.0
Super built-up  Area,Chandapura,800.0,2.0,1.0,25.0,2,3125.0
Super built-up  Area,Chandapura,645.0,1.0,1.0,16.45,1,2550.0
Super built-up  Area,Chandapura,778.0,2.0,0.0,25.29,2,3251.0
Super built-up  Area,Chandapura,950.0,2.0,1.0,25.65,2,2700.0
Plot  Area,Chandapura,1200.0,2.0,1.0,36.0,2,3000.0
Super built-up  Area,Chandapura,645.0,1.0,1.0,16.45,1,2550.0
Super built-up  Area,Chandapura,922.0,2.0,1.0,36.0,2,3905.0
Super built-up  Area,Chandapura,674.0,1.0,1.0,19.9,2,2953.0
Super built-up  Area,Chandapura,985.0,2.0,1.0,25.12,2,2550.0
Super built-up  Area,Chandapura,1025.0,2.0,2.0,27.68,2,2700.0
Super built-up  Area,Chandapura,1015.0,2.0,2.0,25.88,2,2550.0
Super built-up  Area,Chandapura,1345.0,2.0,2.0,39.5,3,2937.0
Super built-up  Area,Chandapura,1033.0,2.0,2.0,30.47,3,2950.0
Super built-up  Area,Chandapura,971.0,2.0,2.0,38.0,3,3913.0
Super built-up  Area,Chandapura,1015.0,2.0,2.0,25.88,2,2550.0
Built-up  Area,Chandapura,800.0,1.0,2.0,30.0,2,3750.0
Super built-up  Area,Chandapura,900.0,2.0,3.0,35.0,2,3889.0
Super built-up  Area,Chandapura,975.0,2.0,1.0,24.86,2,2550.0
Super built-up  Area,Chandapura,520.0,1.0,1.0,14.04,1,2700.0
